sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes,sampleDate
PV1674,LRWRP,rawWW,cpTP24h,,2022-09-28 07:00:00,2022-09-29 07:00:00,1.0,21.7,Yes,,,Sample picked up at plant and transported directly to lab,2022-09-29
PV1690,MQ Blank,,grb,2022-10-03 09:00:00,,,,,,,,,2022-10-03
PV1691,AM,rawWW,cpTP24h,,2022-09-29 06:30:00,2022-09-30 06:30:00,1.0,11.9,Yes,,,Sample picked up at plant and transported directly to lab,2022-09-30
PV1692,AM,rawWW,cpTP24h,,2022-10-02 06:30:00,2022-10-03 06:30:00,1.0,15.1,Yes,,,Sample picked up at plant and transported directly to lab,2022-10-03
PV1693,LPCC,rawWW,cpTP24h,,2022-09-27 07:00:00,2022-09-28 07:00:00,1.0,26.2,Yes,,,Sample picked up at plant and transported directly to lab,2022-09-28
PV1694,LPCC,rawWW,cpTP24h,,2022-09-29 05:30:00,2022-09-30 07:45:00,1.0,26.5,Yes,,,Sample picked up at plant and transported directly to lab,2022-09-30
PV1695,LPCC,rawWW,cpTP24h,,2022-10-02 12:00:00,2022-10-03 04:30:00,1.0,27.7,Yes,,,Sample picked up at plant and transported directly to lab,2022-10-03
PV1696,LRPCP,rawWW,cpTP24h,,2022-10-02 00:00:00,2022-10-03 00:00:00,1.0,20.5,Yes,,,Sample picked up at plant and transported directly to lab,2022-10-03
PV1697,LRWRP,rawWW,cpTP24h,,2022-10-02 07:00:00,2022-10-03 07:00:00,1.0,22.6,Yes,,,Sample picked up at plant and transported directly to lab,2022-10-03
PV1712,CHWW,rawWW,cpTP24h,,2022-09-29 00:00:00,2022-09-30 00:00:00,0.5,18.3,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-09-30
PV1713,CHWW,rawWW,cpTP24h,,2022-10-02 00:00:00,2022-10-03 00:00:00,0.5,16.0,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-10-03
