uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes,Unnamed: 14
SM_LPCC155_T,LPCC,PV179,McKay-GLIER,2021-12-20 08:00:00,wwTemp,,Field hand-held probe,max,,,14.1,oC,,
SM_LPCC155_pH,LPCC,PV179,McKay-GLIER,2021-12-20 08:00:00,wwpH,,Field hand-held probe,max,,,7.54,,,
SM_LRPCP174_F,LRPCP,PV180,McKay-GLIER,2021-12-19 23:55:00,wwFlow,,Measured daily average flow,mean,,,46150.0,m3/d,,
SM_LRPCP174_T,LRPCP,PV180,McKay-GLIER,2021-12-19 23:55:00,wwTemp,,Field hand-held probe,max,,,15.1,oC,,
SM_LRPCP174_pH,LRPCP,PV180,McKay-GLIER,2021-12-19 23:55:00,wwpH,,Field hand-held probe,max,,,7.1,,,
SM_LRWRP179_F,LRWRP,PV181,McKay-GLIER,2021-12-20 06:30:00,wwFlow,,Measured daily average flow,mean,,,90.0,ML/D,,
SM_LRWRP179_T,LRWRP,PV181,McKay-GLIER,2021-12-20 06:30:00,wwTemp,,Field hand-held probe,max,,,13.9,oC,,
SM_LRWRP179_pH,LRWRP,PV181,McKay-GLIER,2021-12-20 06:30:00,wwpH,,Field hand-held probe,max,,,6.8,,,
SM_LA87_F,LA,PV186,McKay-GLIER,2021-12-22 09:05:00,wwFlow,,Measured daily average flow,mean,,,185.4,L/s,,
SM_LA87_T,LA,PV186,McKay-GLIER,2021-12-22 09:05:00,wwTemp,,Field hand-held probe,max,,,12.5,oC,,
SM_LA87_pH,LA,PV186,McKay-GLIER,2021-12-22 09:05:00,wwpH,,Field hand-held probe,max,,,7.64,,,
SM_CHWW62_F,CHWW,PV187,McKay-GLIER,2021-12-17 00:00:00,wwFlow,,Measured daily average flow,mean,,,25.78,ML/D,,
SM_CHWW62_T,CHWW,PV187,McKay-GLIER,2021-12-17 00:00:00,wwTemp,,Field hand-held probe,max,,,14.1,oC,,
