sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
S3.8.1.23,Midland,rawWW,cpTP24h,,2023-01-07,2023-01-08,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S4.9.1.23,Orillia,rawWW,cpTP24h,,2023-01-08,2023-01-09,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
B03.10.1.23,Harmony,rawWW,cpTP24h,,2023-01-09,2023-01-10,0.5,6.0,Yes,Samples shipped on ice from site to lab by courier
C04.10.1.23,Courtice,rawWW,cpTP24h,,2023-01-09,2023-01-10,0.5,6.0,Yes,Samples shipped on ice from site to lab by courier
D05.10.1.23,Darlington,rawWW,cpTP24h,,2023-01-09,2023-01-10,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
E06.10.1.23,Newcastle,rawWW,cpTP24h,,2023-01-09,2023-01-10,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
F07.10.1.23,Ajax,rawWW,cpTP24h,,2023-01-09,2023-01-10,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
G08.10.1.23,Pickering,rawWW,cpTP24h,,2023-01-09,2023-01-10,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S1.10.1.23,Barrie,rawWW,cpTP24h,,2023-01-09,2023-01-10,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S2.10.1.23,Collingwood,rawWW,cpTP24h,,2023-01-09,2023-01-10,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S3.10.1.23,Midland,rawWW,cpTP24h,,2023-01-09,2023-01-10,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S4.10.1.23,Orillia,rawWW,cpTP24h,,2023-01-09,2023-01-10,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S5.10.1.23,Bracebridge,rawWW,cpTP24h,,2023-01-09,2023-01-10,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S6.8.1.23,Penetanguishene,rawWW,cpTP24h,,2023-01-07,2023-01-08,0.5,8.0,Yes,Samples shipped on ice from site to lab by courier
A02.10.1.23,Corbett,rawWW,cpTP24h,,2023-01-09,2023-01-10,0.5,5.0,Yes,Samples shipped on ice from site to lab by courier
A02.12.1.23,Corbett,rawWW,cpTP24h,,2023-01-11,2023-01-12,0.5,5.0,Yes,Samples shipped on ice from site to lab by courier
B03.12.1.23,Harmony,rawWW,cpTP24h,,2023-01-11,2023-01-12,0.5,8.0,Yes,Samples shipped on ice from site to lab by courier
C04.12.1.23,Courtice,rawWW,cpTP24h,,2023-01-11,2023-01-12,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
F07.12.1.23,Ajax,rawWW,cpTP24h,,2023-01-11,2023-01-12,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S1.9.1.23,Barrie,rawWW,cpTP24h,,2023-01-08,2023-01-09,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S1.12.1.23,Barrie,rawWW,cpTP24h,,2023-01-11,2023-01-12,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S2.9.1.23,Collingwood,rawWW,cpTP24h,,2023-01-08,2023-01-09,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S2.11.1.23,Collingwood,rawWW,cpTP24h,,2023-01-10,2023-01-11,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S3.12.1.23,Midland,rawWW,cpTP24h,,2023-01-11,2023-01-12,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
