sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
CWP_175,CWP,rawWW,cpTP24h,,2023-01-05 07:20:00,2023-01-06 07:30:00.000,7.7,12.0,yes,
CWP_176,CWP,rawWW,cpTP24h,,2023-01-08 07:30:00,2023-01-09 07:40:00.000,7.77,9.6,yes,
CBW_182,CBW,rawWW,cpTP24h,,2023-01-05 07:30:00,2023-01-06 07:40:00.000,7.0,4.1,yes,
CBW_183,CBW,rawWW,cpTP24h,,2023-01-08 07:00:00,2023-01-09 07:31:00.000,7.3,4.3,yes,
MSTP_098,MSTP,rawWW,cpTP24h,,2023-01-05 09:00:00,2023-01-06 09:00:00.000,,,yes,
KLW_191,KLW,rawWW,cpTP24h,,2023-01-05 12:00:00,2023-01-06 12:00:00.000,7.78,8.1,yes,
OWSD_154,OWSD,rawWW,cpTP24h,,2023-01-08 07:00:00,2023-01-09 07:00:00.000,,11.5,yes,
STW_195,STW,rawWW,cpTP24h,,2023-01-05 08:00:00,2023-01-06 08:00:00.000,,,yes,
MUC1_159,MUC1,rawWW,grb,2023-01-10 07:00:00,,,,,yes,
MUC2_150,MUC2,rawWW,grb,2023-01-10 07:00:00,,,,,yes,
MUC3_166,MUC3,rawWW,cpTP24h,,2023-01-10 06:00:00,2023-01-11 06:00:00.000,,,yes,
GWP_192,GWP,rawWW,cpTP24h,,2023-01-08 14:00:00,2023-01-09 14:00:00.000,,,yes,
GWP_193,GWP,rawWW,cpTP24h,,2023-01-10 07:00:00,2023-01-11 07:00:00.000,,,yes,
SWP_213,SWP,rawWW,cpTP24h,,2023-01-10 09:00:00,2023-01-11 07:00:00.000,7.68,6.8,yes,
