sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
MB221215,MB,rawWW,cpTP24h,,2022-12-14 00:00:00,2022-12-15 00:00:00,1,,Yes,
LT221214,LT,rawWW,cpTP24h,,2022-12-13 00:00:00,2022-12-14 00:00:00,1,,Yes,
LT221215,LT,rawWW,cpTP24h,,2022-12-14 00:00:00,2022-12-15 00:00:00,1,,Yes,
LT221216,LT,rawWW,cpTP24h,,2022-12-15 00:00:00,2022-12-16 00:00:00,1,,Yes,
LT221216,LT,rawWW,cpTP24h,,2022-12-15 00:00:00,2022-12-16 00:00:00,1,,Yes,
RV221216,RV,rawWW,cpTP24h,,2022-12-15 00:00:00,2022-12-16 00:00:00,1,,Yes,
RV221217,RV,rawWW,cpTP24h,,2022-12-16 00:00:00,2022-12-17 00:00:00,1,,Yes,
RV221218,RV,rawWW,cpTP24h,,2022-12-17 00:00:00,2022-12-18 00:00:00,1,,Yes,
RV221219,RV,rawWW,cpTP24h,,2022-12-18 00:00:00,2022-12-19 00:00:00,1,,Yes,
CB221216,CB,rawWW,cpTP24h,,2022-12-15 00:00:00,2022-12-16 00:00:00,1,,Yes,
CB221217,CB,rawWW,cpTP24h,,2022-12-16 00:00:00,2022-12-17 00:00:00,1,,Yes,
CB221218,CB,rawWW,cpTP24h,,2022-12-17 00:00:00,2022-12-18 00:00:00,1,,Yes,
CB221219,CB,rawWW,cpTP24h,,2022-12-18 00:00:00,2022-12-19 00:00:00,1,,Yes,
KS221219,KS,rawWW,cpTP24h,,2022-12-18 00:00:00,2022-12-19 00:00:00,1,,Yes,
CW221219,CW,rawWW,cpTP24h,,2022-12-18 00:00:00,2022-12-19 00:00:00,1,,Yes,
WB221217,WB,rawWW,cpTP24h,,2022-12-16 00:00:00,2022-12-17 00:00:00,1,,Yes,
WB221219,WB,rawWW,cpTP24h,,2022-12-18 00:00:00,2022-12-19 00:00:00,1,,Yes,
LT221219,LT,rawWW,cpTP24h,,2022-12-18 00:00:00,2022-12-19 00:00:00,1,,Yes,
LT221220,LT,rawWW,cpTP24h,,2022-12-19 00:00:00,2022-12-20 00:00:00,1,,Yes,
